Song_Code,Title,Time Period,Composer,VocalRange,Class,Key,Highest Note,Lowest Note,Runtime of Song,Language,Genre,Assignee Name,Music_Notes,Notes2
100-0178,Sento nel core (Low),1600s/1700s (Baroque),Scarlatti,Vocal All,B,Dm,E5,D4,,Italian,Classical,Mae,No Tracks,
100-0186,Go 'Way From My Window (High),1900s (Modern),Zaninelli,Vocal All,B,C,E5,C4,,English,Folk,Mae,No Tracks,
100-0215,Panis Angelicus (High),1872 (Romantic),Franck,Vocal All,C,G,E5,G4,3:27,Latin,Classical,Brie,,
100-0234,Homeward Bound (Medium),1900s (Modern),Keen,Vocal All,C,Eb,E5,B3,2:58,English,Folk,Brie,,
100-0246,Danny Boy (Low),1900s (Romantic),Old Irish Air,Vocal All,C,C,E5,A3,2:53,English,Folk,Brie,Music partially cut off,
100-0278,The Water is Wide (High),1900s (Modern),Zaninelli,Vocal All,C,A,E5,E4,2:43,English,folk,Andy,,
100-0301,"Corazon, porque passais",1921 (Modern),Obradors,Soprano,A,E,E5,E4,,Spanish,Classical,Shanaya,,
100-0316,Asturiana (Soprano),1914 (Modern),de Falla,Soprano,B,Am,E5,G#4,,Spanish,Folk,Shanaya,,
100-0345,"Go, Tell It on the Mountain",1865 (Traditional),Dean,Soprano,C,G,E5,D4,1:57,English,Spiritual,Shanaya,,
100-0064,Come and Trip It (Vocal All),1740 (Baroque),Handel,Mezzo Soprano,A,Gm,E5,B3,2:28,English,Classical,Shanaya,,
100-0388,Se Tu M'ami (Low),1730 (Baroque),Pergolesi,Mezzo Soprano,A,Em,E5,A3,2:26,Italian,Classical,Shanaya,"only scanned in Em, not in Gm",
100-0406,Who'll Buy My Lavender?,1900s (Modern),German,Mezzo Soprano,B,C,E5,C4,2:40,English,Classical / Folk,Shanaya,,
100-0408,My Mother Bids Me Bind My Hair,1794 (Classical),Haydn,Mezzo Soprano,B,A,E5,E4,3:59,English,Classical,Shanaya,,
100-0411,Wayfaring Stranger (Mezzo Soprano),1800s (Traditional),Niles,Mezzo Soprano,B,Em,E5,D4,3:01,English,Folk,Shanaya,,
100-0431,Asturiana (Mezzo Soprano),1914 (Modern),de Falla,Mezzo Soprano,C,Am,E5,G4,,Spanish,Folk,Mae,No tracks,
100-0439,Where E'er You Walk (Mezzo Soprano),1744 (Baroque),Handel,Mezzo Soprano,C,G,E5,D4,3:45,English,Baroque,Mae,,
100-0443,The Black Dress,1900s (Modern),Niles,Mezzo Soprano,C,E,E5,D#4,2:35,English,Folk Ballad,Andy,,
100-0472,Il mio bel foco (Alto),1700 (Baroque),Marcello,Alto,A,Em,E5,A3,2:25,Italian,Baroque,Andy,,
100-0559,It Must Be So,1956 (Modern),Bernstein,Tenor,B,Dm,E5,D4,,English,Modern,Mae,No tracks,
100-1918,The Monk and His Cat,1953 (Modern),Barber,Alto,A,F,E5,D4,2:31,English,Classic,Emma,,
100-1934,Over the Land is April (Alto),1894 (Romantic),Quilter,Alto,A,C,E5,D4,3:05,English,Classic,Emma,,
100-1971,Ich Liebe Dich,1864 (Romantic),Grieg,Soprano,B,C,E5,E4,2:19,German,Classical,Emma,,
100-1974,A Slumber Song of the Madonna,1938 (Modern),Barber,Soprano,B,Ab,E5,C#4,2:22,English,Classical,Emma,,
100-1975,"Mother, I Cannot Mind My Wheel",1940s (Modern),Barber,Soprano,B,Am,E5,D#4,1:33,English,Classical,Emma,,
100-2026,Mai,1880 (Romantic),Faure,Mezzo Soprano,A,E,E5,A#3,2:13,French,Classical,Emma,,
100-0610,Les Berceaux,1879 (Romantic),Faure,Baritone,A,Am,E4,G2,,French,Romantic,Shanaya,No tracks,
100-0646,Evening,1900s (Modern),Niles,Baritone,B,Em,E4,A2,,English,Modern,sharon,No tracks,
100-0648,The Gambler's Lament,1900s (Modern),Niles,Baritone,B,Em,E4,B2,,English,Modern,sharon,No tracks,
100-0679,"Deep River (Low, Bass)",1800s (Traditional),Burleigh,Bass,A,C,E4,G2,,English,Spiritual,Leif,No tracks,
100-0683,"Arm, Arm Ye Brave",1746 (Baroque),Handel,Bass,A,C,E4,B2,,English,Classical / Baroque,Leif,No tracks,Bass clef
100-0477,Song to the Dark Virgin,1941 (Modern),Price,Alto,A,Fm,Db5 (Eb5),Bb3,1:39,English,Modern,Andy,,
100-0140,The Loveliest of Trees (Low),1895/1986 (Romantic),Duke,Vocal All,B,F,Db5,C4,1:43,English,Classical Art,Yasmeen,,
100-0429,The Lamb,1940s (Modern),Chanler,Mezzo Soprano,C,Fm,Db5,Db4,,English,Hymnal,Mae,No tracks,
100-0699,Bright is the Ring of Words,1904 (Post-Romantic),Vaughan Williams,Bass,A,C,Db5,Ab3,,English,Classical,Leif,No tracks,
100-0628,The Roadside Fire (Baritone),1904 (Post-Romantic),Vaughan Williams,Baritone,A,Db,Db4,Bb2,,English,Classical,Shanaya,No tracks,
100-0672,When I Was One-And-Twenty (Baritone),1904 (Romantic),Somervell,Baritone,C,Bb,Db4,Bb2,,English,Romantic,sharon,No tracks,
100-0697,The Roadside Fire (Bass),1904 (Post-Romantic),Vaughan Williams,Bass,A,Db,Db4,Bb2,,English,Classical,Leif,No tracks,
100-0006,Tell Me No More,1700 (Baroque),Blow,Vocal All,A,Eb,D5,Bb3,,English,Classical,Shanaya,No Tracks,
100-0010,Per la gloria d'adorarvi (Low),1723 (Baroque),Bononcini,Vocal All,A,D,D5,Bb3,3:00,Italian,Classical,Shanaya,,
100-0024,"Amarilli, mia bella (Medium)",1602 (Baroque),Caccini,Vocal All,A,Fm,D5,C4,2:48,Italian,Classical,Shanaya,,
100-0038,"Danza, Danza (High)",1772 (Baroque),Durante,Vocal All,A,Bm,,,2:34,Italian,Classical,Shanaya,No Music for this key,
100-0040,"Danza, Danza (Low)",1772 (Baroque),Durante,Vocal All,A,Gm,D5,D#3,2:34,Italian,Classical,Shanaya,,
100-0097,Tu lo sai (Low),1709 (Baroque),Torelli,Vocal All,A,C,D5,C4,2:30,Italian,Classical,Sam,,
100-0185,All The Pretty Little Horses (Low),1900s (Modern),Zaninelli,Vocal All,B,Dm,D5,A3,2:01,English,Folk,Mae,,
100-0218,Dedication (Low),1885 (Late Romantic),Franz,Vocal All,C,F,D5,C4,1:09,English,Classical,Brie,,
100-0220,Caro mio ben (High),1780 (Classical),Giordani,Vocal All,C,Eb,D5,B3,2:40,Italian,Classical,Brie,,
100-0224,Caro mio ben (Low),1780 (Classical),Giordani,Vocal All,C,C,D5,C4,2:40,Italian,Classical,Jack,,
100-0236,Homeward Bound (Low),1900s (Modern),Keen,Vocal All,C,D,D5,A3,2:58,English,Folk,Brie,,
100-0240,I Wonder as I Wander (Low),1900s (Modern),Niles,Vocal All,C,Gm,D5,Bb3,1:15,English,Folk,Mae,,
100-0441,O Rest in the Lord (Mezzo Soprano),1846 (Romantic),Mendelssohn,Mezzo Soprano,C,C,D5,C4,2:56,English,Classical,Mae,,
100-0442,Ribbon Bow,1900s (Modern),Niles,Mezzo Soprano,C,Em,D5,E4,,English,Folk,Andy,No tracks,
100-0471,"Pur dicesti, o bocca bella",1710 (Baroque),Lotti,Alto,A,C,D5,C4,4:16,Italian,Baroque,Andy,,
100-0478,I Attempt From Love's Sickness (Alto),1695 (Baroque),Purcell,Alto,A,F,D5,C4,1:52,English,Baroque,Andy,,
100-0486,Love Has Eyes (Alto),1814 (Romantic),Bishop,Alto,B,F,D5,C4,2:06,English,Romantic,Andy,,
100-0491,"Weep You No More, Sad Fountains",1597 (Renaissance),Dowland,Alto,B,Dm,D5,A3,2:20,English,Classical,Andy,,
100-0498,Fain Would I Change That Note,1605 (Renaissance),Hume,Alto,B,D,D5,A3,1:29,English,Classical,Andy,,
100-0690,Nina (Bass),1700s (Baroque),Pergolesi,Bass,A,Dm,D4,C3,2:27,Italian,Classical,Leif,,
100-0719,Down Among the Dead Men (Bass),1700s (Traditional),Anonymous,Bass,C,Bm,D4,A2,2:22,English,Classical,Leif,,
100-0606,"Vittoria, mio core (Baritone)",1646 (Baroque),Carissimi,Baritone,A,A,D4,A2,2:19,Italian,Baroque,Shanaya,,
100-0609,Clair De Lune,1887 (Romantic),Faure,Baritone,A,Gm,D4,D3,,French,Classical,Shanaya,No tracks,
100-0615,"Money, O! (Baritone)",1929 (Modern),Head,Baritone,A,Gm,D4,Bb2,2:09,English,Art Song,Shanaya,,
100-0656,I am a Pirate King,1879 (Romantic),Sullivan,Baritone,B,C,D4,B2,,English,Romantic,Sharon,No tracks,
100-0659,Down Among the Dead Men (Baritone),1700s (Classical),Anonymous,Baritone,C,Bm,D4,A2,2:22,English,Classical,sharon,,
100-0661,Across the Western Ocean (Baritone),1900s (Modern),Dougherty,Baritone,C,D,D4,D3,,English,Modern,sharon,No tracks,
100-0662,Five Eyes,1922 (Modern),Gibbs,Baritone,C,Bb,D4,D3,,English,Modern,sharon,No tracks,
100-0668,"Jesus, Jesus, Rest Your Head (Row, Baritone)",1900s (Modern),Row,Baritone,C,D,D4,A2,1:50,English,Modern,sharon,,
100-0675,Io So Che Pria Mi Moro,1650 (Baroque),Aniello,Bass,A,Em,D4,A2,,Italian,Baroque,sharon,No tracks,
100-0681,"Vittoria, mio core (Bass)",1646 (Baroque),Carissimi,Bass,A,A,D4,A2,2:19,Italian,Baroque,Leif,,
100-0687,"Money, O! (Bass)",1929 (Modern),Head,Bass,A,Gm,D4,Bb2,2:09,English,Classical,Leif,,
100-0694,Strike the Viol,1694 (Baroque),Purcell,Bass,A,F#m,D4,C#3,,English,Classical / Baroque,Leif,No tracks,
100-0706,Shenandoah,1800s (Traditional),Dougherty,Bass,B,D,D4,A2,2:13,English,Folk,Leif,,
100-0711,When I Was One-And-Twenty (Bass),1904 (Romantic),Somervell,Bass,B,Bb,D4,Bb2,,English,Romantic,Leif,No tracks,
100-0713,To the Forest,1880 (Romantic),Tchaikovsky,Bass,B,D,D4,A2,,English,Classical,Leif,No tracks,
100-0131,"Sebben, crudele (Low)",1600s (Baroque),Caldara,Vocal All,B,Cm,C5,C4,2:31,Italian,Classical,Emma,,
100-0187,Go 'Way From My Window (Low),1900s (Modern),Zaninelli,Vocal All,B,A,C5,A3,,English,Folk,Mae,No Tracks,
100-0191,Nobody Knows de Trouble I've Seen (Low),1860s (Civil War Era),Burleigh,Vocal All,C,F,C5,C4,2:37,English,Spiritual,Mae,,
100-0279,The Water is Wide (Low),1900s (Modern),Zaninelli,Vocal All,C,F,C5,C4,2:43,English,folk,Andy,,
100-0436,For Music,1800s (Romantic),Franz,Mezzo Soprano,C,C,C5,C4,,English,Art Song,Mae,No tracks,
100-0717,Every Time I Feel the Spirit,1800s (Traditional),African American,Bass,C,C,C4,G2,,English,Spiritual,Leif,No tracks,
100-0171,Lasciatemi morire! (Low),1608 (Baroque),Monteverdi,Vocal All,B,Cm,C5,C4,1:20,Italian,Opera,Yasmeen,,
100-0173,Lasciatemi morire! (Medium),1608 (Baroque),Monteverdi,Vocal All,B,Dm,D5,D4,1:22,Italian,Opera,Yasmeen,,
100-0481,Se Florinda e fedele (Alto),1694 (Baroque),Scarlatti,Alto,A,F,C5,C4,2:18,Italian,Classical/Baroque,Emma,,
100-0572,Weep you no more (Tenor),1900s (Modern),Quilter,Tenor,B,Fm,Db4,C3,2:20,English,Classical,Mae,,
100-0657,The Policeman's Song,1879 (Romantic),Sullivan,Baritone,B,F,C4,F2,,English,Romantic,Sharon,No tracks,Bass Clef
100-0691,"Arise, Ye Subterranean Winds",1695 (Baroque),Purcell,Bass,A,C,C4,F2,,English,Baroque,Leif,No tracks,
100-0718,Mary Had a Baby,1800s (Traditional),African American,Bass,C,C,C4,C3,2:16,English,Spiritual,Emma,,
100-0726,The Water is Wide (Ruck),1600s (Traditional),English Folksong/Ruck,Bass,C,F,C4,C3,2:44,English,Folk,Emma,,
100-0728,When First We Met (Bass),1700s (Baroque),Handel,Bass,C,F,C4,C3,,English,Classical,Emma,No tracks,
100-0026,"Amarilli, mia bella (Low)",1602 (Baroque),Caccini,Vocal All,A,Em,C#5,B3,2:48,Italian,Classical,Shanaya,,
100-0034,Alma del core (Low),1710 (Baroque),Caldara,Vocal All,A,D,C#5,D4,2:48,Italian,Classical,Shanaya,,
100-2025,Che fiero costume,1600s (Baroque),Giovanni Legrenzi,Mezzo Soprano,A,Em,C#5,B3,2:40,Italian,Classical,Emma,,
100-0685,Si Tra I Ceppi,1738 (Baroque),Handel,Bass,A,C,,,,Italian,Classical,Leif,No tracks & no sheet music,
100-0108,Star Vicino (Low),1665 (Baroque),Anonymous,Vocal All,B,Eb,Bb4(Eb5,Bb3,,Italian,Classical,Sam,No tracks,
100-0480,Le Violette (Alto),1694 (Baroque),Scarlatti,Alto,A,Eb,Bb4,Bb3,2:42,French,Baroque,Andy,,
100-1933,If there were Dreams to Sell,1918 (Modern),Ireland,Alto,A,Db,Bb4,D4,2:09,English,Classic,Emma,,
100-0351,When Love Is Kind (Soprano),1800s (Romantic),Old English,Soprano,C,Ab,Ab5,Eb4,1:45,English,classical,Shanaya,,
100-0392,"Blow, Blow Thou Winter Wind (Mezzo Soprano)",1740 (Baroque),Arne,Mezzo Soprano,A,Ab,Ab5,Eb4,1:52,English,Classical,Shanaya,,
100-2033,Alleluia,1773 (Classical),Mozart,Soprano,A,F,A5(C6),F4,2:43,Latin,Classical,Emma,,
100-0242,Danny Boy (High),1900s (Romantic),Old Irish Air,Vocal All,C,F,A5,D4,2:53,English,Folk,Mae,Music is cut off in the scan,
100-0283,La vezzosa pastorella,1780 (Classical),Bruni,Soprano,A,G,A5,F#4,,Italian,Aria,Andy,No tracks,
100-0286,The Bird,1946 (Modern),Duke,Soprano,A,Em,A5,F#4,,English,Folk,Andy,No tracks,
100-0290,El Majo Discreto,1916 (Late Romantic),Granados,Soprano,A,A,A5,E(C#)4,1:34,Spanish,Classical/Tonadilla,Emma,,
100-0291,El Mirar De La Maja,1910 (Spanish Romanticism),Granados,Soprano,A,Ab,A5,F4,2:41,Spanish,Classical Folk/Tonadilla,Emma,,
100-0292,Solvejgs Lied,1876 (Romantic),Grieg,Soprano,A,Am,A5,E4,4:30,German,Classical/Folk,Emma,,
100-0299,"Deh vieni, non tardar",1786 (Classical),Mozart,Soprano,A,F,A5,A3,3:59,Italian,Classical,Shanaya,,
100-2034,My Heart Ever Faithful,1725 (Baroque),Bach,Soprano,A,F,A5,F4,2:36,German,Classical,Emma,,
100-2035,Ridente la calma,1775 (Classical),Mozart,Soprano,A,F,A5,F4,4:21,Italian,Classical,Emma,,
100-0044,Apres un Reve (High),1878 (Romantic),Faure,Vocal All,A,Dm,G5,D4,2:40,French,Classical,Shanaya,,
100-0048,Apres un Reve (Low),1878 (Romantic),Faure,Vocal All,A,Bm,,,2:40,French,Classical,Shanaya,No Music in this key,
100-0053,Aurore,1884 (Romantic),Faure,Vocal All,A,E,,,,French,Classical,Shanaya,No tracks & no sheet music,
100-0067,Ride On King Jesus (High),1800s (Romantic),Johnson,Vocal All,A,Eb,G5,Bb3,2:15,English,Spiritual,Shanaya,,
100-0068,Ride On King Jesus (Low),1800s (Romantic),Johnson,Vocal All,A,Db,,,2:15,English,Spiritual,Shanaya,No Music in this key,
100-0076,"Blow, Blow Thou Winter Wind (Vocal All)",1740 (Baroque),Arne,Vocal All,A,Eb,Eb5,Bb3,2:10,English,Classical,Shanaya,,
100-0078,Gia il sole dal Gange (High),1700 (Baroque),Scarlatti,Vocal All,A,Ab,F5,Eb4,2:15,Italian,Aria,,,
100-0082,Gia il sole dal Gange (Low),1700 (Baroque),Scarlatti,Vocal All,A,Eb,,,2:15,Italian,Aria,,No music in this key,
100-0262,It Was A Lover and His Lass (Quilter),1900s (Modern),Quilter,Vocal All,C,Ab,,,,English,Classical,Andy,No tracks & no music,
100-0268,When Laura Smiles,1623 (Renaissance),Rosseter,Vocal All,C,F,D5,C4,,English,Classical,Andy,No tracks,
100-0270,This Little Rose (High),1900s (Modern),Roy,Vocal All,C,F,F5,E4,,English,Classical,Andy,No tracks,
100-0271,This Little Rose (Low),1900s (Modern),Roy,Vocal All,C,C,C5,B3,,English,Classical,Andy,No tracks,
100-0273,Loch Lomond,1841 (Romantic),Scottish Folk Song,Vocal All,C,Eb,,,,English,Folk,Andy,No tracks & no music,
100-0494,Slumber Song,1900s (Modern),Gretchaninoff,Alto,B,C,E5,B3,,English,Classical,Andy,No tracks,
100-0647,Gambler Don't Lose Your Place (Baritone),1900s (Modern),Niles,Baritone,B,Eb,,,,English,Folk,sharon,No tracks or music,
100-0557,The Roadside Fire (Tenor),1904 (Post-Romantic),Vaughan Williams,Tenor,A,F,,,,English,Classical,,No tracks & no sheet music,
100-0652,An den Sonnenschein,1840 (Romantic),Schumann,Baritone,B,G,,,,German,Classical,sharon,No tracks or music,
100-0542,My Lady Walks in Loveliness,1900s (Modern),Charles,Tenor,A,F,,,,English,Classical Art,,No tracks or music,
100-0655,Zueignung,1883 (Romantic),Richard Strauss,Vocal All,B,Ab,,,,German,Classical,sharon,No tracks or music,
100-0663,Serenade,1700s (Classical),Haydn,Baritone,C,Bb,,,,English,Classical,sharon,No tracks or music,
100-0666,Passing By (Baritone),1800s (Romantic),Purcell,Baritone,C,Eb,,,1:50,English,Classical,sharon,No music,
100-0667,The Jolly Roger,1900s (Modern),Robertson,Baritone,C,F,,,,English,Folk / Sea Shanty,sharon,No tracks or music,
100-0551,Nina (Tenor),1700s (Baroque),Pergolesi,Tenor,A,Gm,,,,Italian,Baroque,,No Tracks or music,
100-0669,Think On Me (Baritone),1800s (Romantic),Scott,Baritone,C,Eb,,,4:10,English,Classical,sharon,No music,
100-0512,Lonely People,1900s (Modern),Berger,Alto,C,Em,,,,English,Classical,Shanaya,No tracks or music,
100-0493,El Majo Timido (Alto),1916 (Romantic),Granados,Alto,B,Bb,,,,Spanish,Classical (Tonadilla),Shanaya,No track for this key,<-
100-0516,The Soldier,1900s (Modern),Davis,Alto,C,Ab,,,,English,Romanian Folk,Shanaya,No tracks,
100-0089,"Pieta, Signore! (Low)",1650 (Baroque),Stradella,Vocal All,A,Am,,,5:00,Italian,Aria,Shanaya,No music for this key,
100-0540,Come raggio di sol,1710 (Baroque),Caldara,Tenor,A,Gm,,,2:33,Italian,Classical,Shanaya,Music is cutoff in scan - song incomplete,
100-0519,Pleading,1800s (Romantic),Franz,Alto,C,Bb,,,,English,Classical,Shanaya,No tracks,
100-0537,A Simple Song,1971 (Modern),Bernstein,Tenor,A,G,F#4,C3,,English,Ballad,Shanaya,No tracks,
100-0552,I Attempt From Love's Sickness (Tenor),1695 (Baroque),Purcell,Tenor,A,F,D4,Bb2,1:52,English,Baroque,Shanaya,,
100-0528,The Wild Rider,1900s (Modern),Niles,Alto,C,Cm,,,,English,Classical,Shanaya,No tracks & no sheet music,
100-0522,The Joys of Love,1784 (Classical),Martini,Alto,C,F,,,,English,Folk,Shanaya,No tracks & no sheet music,
100-0600,"Jesus, Jesus, Rest Your Head (Row, Tenor)",1900s (Modern),Row,Tenor,C,G,,,1:50,English,Modern,Shanaya,No music,
100-0603,Think On Me (Tenor),1800s (Romantic),Scott,Tenor,C,F,,,4:10,English,Romantic,Shanaya,,
100-0620,Nina (Baritone),1700s (Baroque),Pergolesi,Baritone,A,Dm,,,,Italian,Baroque,Shanaya,No tracks & no sheet music,
100-0632,Love Has Eyes (Baritone),1814 (Romantic),Bishop,Baritone,B,F,,,2:06,English,Classical,Shanaya,,
100-0636,The Trumpeter,1904 (Romantic),Dix,Baritone,B,G,,,,English,Folk,Shanaya,No tracks & no sheet music,
100-0544,O del mio amato ben,1918 (Modern),Donaudy,Tenor,A,Ab,F4,Eb3,,Italian,Classical,Shanaya,No tracks,
100-0541,"Vittoria, mio core (Tenor)",1646 (Baroque),Carissimi,Tenor,A,C,F4,C3,2:19,Italian,Baroque,Shanaya,,
100-0547,Where E'er You Walk (Tenor),1744 (Baroque),Handel,Tenor,A,Bb,G4,F3,3:45,English,Baroque,Shanaya,,
100-0549,I Will Sing of Thy Great Mercies,1840 (Romantic),Mendelssohn,Tenor,A,F,F4,F3,,English,Classical,Shanaya,No tracks,
100-0550,If With All Your Hearts,1846 (Romantic),Mendelssohn,Tenor,A,Eb,Ab4,F#3,,English,Classical,Shanaya,No tracks,
100-0538,Sonntag,1868 (Romantic),Brahms,Tenor,A,G,G4,D3,,German,Classical Art,Shanaya,No tracks,
100-0558,The Daisies (Tenor),1936 (Modern),Barber,Tenor,B,F,F4,C3,,English,Classical Art,Shanaya,No tracks,
100-0574,Wanderer's Night-Song,1823 (Romantic),Schubert,Tenor,B,Bb,F4,F3,,English,Romantic,Shanaya,No tracks,
100-0577,Linden Lea,1901 (Romantic),Vaughn Williams,Tenor,B,G,E4,D3,,English,Romantic,Shanaya,No tracks,
100-0578,Amazing Grace (Tenor),1779 (Classical),Althouse,Tenor,C,G,D4,D3,2:35,English,Classical,Shanaya,,
100-0579,I Love Thee,1795 (Classical),Beethoven,Tenor,C,G,F4,D3,,English,Classical,Shanaya,No tracks,
100-0580,Across the Western Ocean (Tenor),1900s (Modern),Dougherty,Tenor,C,D,C#4,D3,,English,Modern,Shanaya,No tracks,
100-0587,Greensleeves (Tenor),1900s (Modern),Kern,Tenor,C,Gm,F4,D3,,English,Modern,Shanaya,No tracks,
100-0495,With a Water Lily,1870 (Romantic),Grieg,Alto,B,G,Eb5,C#4,,English,Romantic / Art,Shanaya,No tracks,
100-0500,The Pasture,1940s (Modern),Naginski,Alto,B,Eb,Eb5,Bb3,,English,Classical,Shanaya,No tracks,
100-0515,Couldn't Hear Nobody Pray (Low),1922 (Modern),Burleigh,Alto,C,Db,Db5(F5),Bb3,2:58,English,Gospel,Shanaya,,
100-0534,I'm Called Little Buttercup,1878 (Romantic),Sullivan,Alto,C,C,C5,Bb3,,English,Opera / Operetta,Shanaya,No tracks,
100-0525,It Was A Lover and His Lass (Morley),1599 (Renaissance),Morley,Alto,C,D,D5,D4,2:23,English,Renaissance Mardrigal ,Shanaya,No track for this key,
100-0526,My Lovely Celia (Alto),1700s (Classical),Munro,Alto,C,Eb,Eb5,Bb3,1:39,English,Classical,Shanaya,,
100-0523,O Rest in the Lord (Alto),1846 (Romantic),Mendelssohn,Alto,C,C,C5,Bb3,2:56,English,Classical,Shanaya,,
100-0517,Since First I Saw Your Face,1607 (Renaissance),Ford,Alto,C,C,C5,C4,,English,Classical,Shanaya,No tracks,
100-0527,The Lass from the Low Countree,1934 (Modern),Niles,Alto,C,Bm,D5,B3,2:31,English,Folk,Shanaya,,
100-0532,The Lotus Flower,1840 (Romantic),Schumann,Alto,C,Db,Eb5,Ab3,,English,Art,Shanaya,No tracks,
100-0514,The Salley Gardens (Alto),1943 (Modern),Britten,Alto,C,Db,Eb3,Db3,2:13,English,Folk,Shanaya,,
100-0087,"Pieta, Signore! (High)",1650 (Baroque),Stradella,Vocal All,A,Dm,G5,F4,5:00,Italian,Aria,Shanaya,,
100-0189,Nobody Knows de Trouble I've Seen (High),1860s (Civil War Era),Burleigh,Vocal All,C,Ab,Eb5,Eb4,2:37,English,Spiritual,Mae,,
